hole 1 tee golden: 298 visible objects in 219 kinds; renderer 295 draws, 33.8 M tris
  objects  instances   tris  type|tag|material|name|parent|inst|tris-each|cast|matrixAuto
       1       263   263000  Mesh|trees|MeshStandardNodeMaterial|trees-spruce0-trunk-t0||inst|1000|cast|auto
       1      1394  2275008  Mesh|trees|MeshBasicNodeMaterial|trees-spruce0-crown-t1||inst|1632|cast|auto
       1      1394    94792  Mesh|trees|MeshStandardNodeMaterial|trees-spruce0-trunk-t1||inst|68|cast|auto
       1         0        0  Mesh|trees|MeshBasicNodeMaterial|trees-spruce0-crown-t2||inst|288|cast|auto
       1         0        0  Mesh|trees|MeshStandardNodeMaterial|trees-spruce0-trunk-t2||inst|20|cast|auto
       1         1        2  Mesh|trees|MeshBasicNodeMaterial|trees-spruce-impostor-t3|||2||auto
       1       426  1598352  Mesh|trees|MeshBasicNodeMaterial|trees-pine0-crown-t0||inst|3752|cast|auto
       1       426   296496  Mesh|trees|MeshStandardNodeMaterial|trees-pine0-trunk-t0||inst|696|cast|auto
       1      2281  3362194  Mesh|trees|MeshBasicNodeMaterial|trees-pine0-crown-t1||inst|1474|cast|auto
       1      2281   333026  Mesh|trees|MeshStandardNodeMaterial|trees-pine0-trunk-t1||inst|146|cast|auto
       1         0        0  Mesh|trees|MeshBasicNodeMaterial|trees-pine0-crown-t2||inst|220|cast|auto
       1         0        0  Mesh|trees|MeshStandardNodeMaterial|trees-pine0-trunk-t2||inst|60|cast|auto
       1         1        2  Mesh|trees|MeshBasicNodeMaterial|trees-pine-impostor-t3|||2||auto
       1        83   302452  Mesh|trees|MeshBasicNodeMaterial|trees-birch0-crown-t0||inst|3644|cast|auto
       1        83    71048  Mesh|trees|MeshStandardNodeMaterial|trees-birch0-trunk-t0||inst|856|cast|auto
       1       281   441732  Mesh|trees|MeshBasicNodeMaterial|trees-birch0-crown-t1||inst|1572|cast|auto
       1       281    35968  Mesh|trees|MeshStandardNodeMaterial|trees-birch0-trunk-t1||inst|128|cast|auto
       1         0        0  Mesh|trees|MeshBasicNodeMaterial|trees-birch0-crown-t2||inst|288|cast|auto
       1         0        0  Mesh|trees|MeshStandardNodeMaterial|trees-birch0-trunk-t2||inst|20|cast|auto
       1         1        2  Mesh|trees|MeshBasicNodeMaterial|trees-birch-impostor-t3|||2||auto
       1         1        2  Mesh|vista|MeshBasicNodeMaterial|vista-spruce-impostor|||2||auto
       1         1        2  Mesh|vista|MeshBasicNodeMaterial|vista-pine-impostor|||2||auto
       1         1        2  Mesh|vista|MeshBasicNodeMaterial|vista-birch-impostor|||2||auto
       1       857    17140  Mesh||MeshStandardNodeMaterial|||inst|20|cast|auto
       1       199     7164  Mesh||MeshStandardNodeMaterial|||inst|36|cast|auto
       1         1     6728  Mesh||MeshStandardNodeMaterial||||6728||auto
       1        44     1408  Mesh||MeshStandardNodeMaterial|||inst|32||auto
       1         1      561  LineSegments||LineBasicNodeMaterial||||561||auto
       1        82     1640  Mesh|plates|MeshStandardNodeMaterial|||inst|20||auto
       1        18      432  Mesh|pins|MeshStandardNodeMaterial|||inst|24|cast|auto
       1        18      864  Mesh|pins|MeshStandardNodeMaterial|||inst|48||auto
       1       110     8800  Mesh|markers|MeshStandardNodeMaterial|||inst|80|cast|auto
       1         1      506  Mesh||MeshStandardNodeMaterial||||506|cast|auto
       1         1      180  Mesh||MeshStandardNodeMaterial||||180||auto
       1         1     1492  Mesh||MeshStandardNodeMaterial||||1492|cast|auto
       1         1      156  Mesh||MeshBasicNodeMaterial||tactical-guide||156||auto
       1         1      144  Mesh||MeshBasicNodeMaterial||tactical-guide||144||auto
