hole,tee,teeIndex,cardMetres,localX,localZ,longitude,latitude,eastingEPSG3006,northingEPSG3006,previousLocalX,previousLocalZ,changeMetres,association,sourceReviewId,sourcePadId,associatedPadBoundaryProvenance,associatedPadRetainedHistorical,associatedPadBoundaryClearanceMetres,containingPadIds,insideSourceTracedPad,projectionRoundtripMetres,dailyMarkerVerified
12,61,1,166,-512.8,-1051,18.66325324052769,63.29394125044916,683610.3736622554,7023585.975826674,-512.8,-1051,0.0,provisional-platform,lm-2024-h12-tee-associations,lm-2024-h12-tee-1,reviewed-lm-orthophoto,False,1.9404449222794187,"[""lm-2024-h12-tee-1""]",True,1.7779587579980215e-10,False
12,58,2,153,-517.4491823682849,-1074.9494775232668,18.66316034065743,63.2941563912821,683604.3518023005,7023609.651873814,-523.3,-1058.6,17.36483464486187,provisional-platform,lm-2024-h12-tee-associations,lm-2024-h12-tee-2,reviewed-lm-orthophoto,False,0.748565759422613,"[""lm-2024-h12-tee-2""]",True,7.909761734481435e-10,False
12,55,3,142,-526.3600027563133,-1077.6379666622734,18.662982284820423,63.29418054228047,683595.2808670695,7023611.829557145,-532.2,-1065.1,13.831347578256764,provisional-platform,lm-2024-h12-tee-associations,lm-2024-h12-tee-2,reviewed-lm-orthophoto,False,0.25267194528195214,"[""lm-2024-h12-tee-2""]",True,1.7779587579980215e-10,False
12,48,4,121,-544.3982866678781,-1086.6512289616337,18.662621844187555,63.29426150942294,683576.7143671967,7023619.807774052,-549.2,-1077.4,10.423132361456716,provisional-platform,lm-2024-h12-tee-associations,lm-2024-h12-tee-3,reviewed-lm-orthophoto,False,0.45087658449016726,"[""lm-2024-h12-tee-3""]",True,0.0,False
12,40,5,121,-544.3982866678781,-1086.6512289616337,18.662621844187555,63.29426150942294,683576.7143671967,7023619.807774052,-549.2,-1077.4,10.423132361456716,provisional-platform,lm-2024-h12-tee-associations,lm-2024-h12-tee-3,reviewed-lm-orthophoto,False,0.45087658449016726,"[""lm-2024-h12-tee-3""]",True,0.0,False
13,65,0,424,-741.7352438717475,-1177.0261304349735,18.65867866100607,63.29507335726226,683374.0750319221,7023698.868805425,-740.3,-1179.7,3.0347163660157443,provisional-platform,lm-2024-h13-tee-associations,lm-2024-h13-rear-deck,reviewed-lm-orthophoto,False,0.6121650650059597,"[""lm-2024-h13-rear-deck""]",True,0.0,False
13,61,1,414,-734.4451302676655,-1171.856761468005,18.65882433191213,63.29502692024315,683381.6653865741,7023694.117729285,-732.7,-1173.2,2.202219200024854,provisional-platform,lm-2024-h13-tee-associations,lm-2024-h13-rear-deck,reviewed-lm-orthophoto,False,0.4415124632161202,"[""lm-2024-h13-rear-deck""]",True,1.581952346896287e-09,False
13,58,2,375,-703.1,-1147.8,18.659450669686077,63.29481081566655,683414.4062471271,7023671.860248512,-703.1,-1147.8,0.0,provisional-platform,lm-2024-h13-tee-associations,lm-2024-h13-middle-deck,reviewed-lm-orthophoto,False,4.362214798816984,"[""lm-2024-h13-middle-deck""]",True,1.581952346896287e-09,False
13,55,3,365,-695.5,-1141.3,18.659602532735978,63.29475242544017,683422.3828342983,7023665.796757628,-695.5,-1141.3,0.0,provisional-platform,lm-2024-h13-tee-associations,lm-2024-h13-middle-deck,reviewed-lm-orthophoto,False,2.9907725882077267,"[""lm-2024-h13-middle-deck""]",True,0.0,False
13,48,4,324,-664.4,-1114.6,18.66022397232176,63.29451257635645,683455.0299678104,7023640.883231696,-664.4,-1114.6,0.0,provisional-platform,lm-2024-h13-tee-associations,lm-2024-h13-forward-deck,reviewed-lm-orthophoto,False,2.902189226372546,"[""lm-2024-h13-forward-deck""]",True,1.7779587579980215e-10,False
13,40,5,250,-608.2,-1066.4,18.661346959611823,63.2940795903701,683514.0242326113,7023595.912331076,-608.2,-1066.4,0.0,unresolved,,,,False,,[],False,1.581952346896287e-09,False
14,65,0,163,-580.6,-894.1,18.661898462266727,63.2925318002156,683551.4918907774,7023425.243964464,-580.6,-894.1,0.0,unresolved,,,,False,,"[""lm-2024-h14-historical-2""]",False,1.581952346896287e-09,False
14,61,1,150,-584.4,-881.6,18.661822530741777,63.29241951131872,683548.403350318,7023412.530366714,-584.4,-881.6,0.0,unresolved,,,,False,,[],False,0.0,False
14,58,2,136,-588.4,-868.2,18.661742602820777,63.29229913762127,683545.1660587771,7023398.905604594,-588.4,-868.2,0.0,unresolved,,,,False,,"[""lm-2024-h14-historical-1""]",False,7.909761734481435e-10,False
14,55,3,128,-590.7,-860.6,18.6616966442662,63.29223086597197,683543.2985997053,7023391.176335969,-590.7,-860.6,0.0,unresolved,,,,False,,"[""lm-2024-h14-historical-1""]",False,0.0,False
14,48,4,115,-594.4,-848.1,18.661622710939277,63.2921185770751,683540.310056829,7023378.468468363,-594.4,-848.1,0.0,unresolved,,,,False,,"[""lm-2024-h14-historical-1""]",False,2.3795800335595833e-09,False
14,40,5,71,-607.1,-806,18.661368939790098,63.29174038807043,683530.0058338442,7023335.654754934,-607.1,-806,0.0,unresolved,,,,False,,[],False,7.909761734481435e-10,False
15,65,0,266,-593.5,-714.9,18.661640694721502,63.29092202659001,683548.8230808498,7023245.360664153,-593.5,-714.9,0.0,unresolved,,,,False,,[],False,0.0,False
15,61,1,232,-571.1061129449665,-690.1911360218562,18.66208816893036,63.29070006410368,683572.6478708902,7023221.940687649,-567.1,-693.4,5.132811019125566,provisional-platform,lm-2024-h15-tee-associations,lm-2024-h15-peninsula-long-deck,reviewed-lm-orthophoto,False,0.7377326011651855,"[""lm-2024-h15-peninsula-long-deck""]",True,7.909761734481435e-10,False
15,58,2,223,-565.3963266680845,-684.2708792671342,18.66220226176698,63.290646881775665,683578.7008418518,7023216.348970766,-560.1,-687.8,6.364414295298954,provisional-platform,lm-2024-h15-tee-associations,lm-2024-h15-peninsula-long-deck,reviewed-lm-orthophoto,False,0.1982732143995882,"[""lm-2024-h15-peninsula-long-deck""]",True,1.581952346896287e-09,False
15,55,3,212,-549.816474237079,-681.8797508539758,18.662513578070556,63.29062540200192,683594.4304896852,7023214.850145255,-551.6,-680.8,2.084904327220951,provisional-platform,lm-2024-h15-tee-associations,lm-2024-h15-peninsula-forward-deck,reviewed-lm-orthophoto,False,0.6204356813205809,"[""lm-2024-h15-peninsula-forward-deck""]",True,1.581952346896287e-09,False
15,48,4,204,-545.3101736787073,-676.729536060361,18.662603622879313,63.2905791370469,683599.234992717,7023209.959399277,-545.4,-675.8,0.9338661871534969,provisional-platform,lm-2024-h15-tee-associations,lm-2024-h15-peninsula-forward-deck,reviewed-lm-orthophoto,False,0.4214691113532739,"[""lm-2024-h15-peninsula-forward-deck""]",True,7.909761734481435e-10,False
15,40,5,204,-545.3101736787073,-676.729536060361,18.662603622879313,63.2905791370469,683599.234992717,7023209.959399277,-545.4,-675.8,0.9338661871534969,provisional-platform,lm-2024-h15-tee-associations,lm-2024-h15-peninsula-forward-deck,reviewed-lm-orthophoto,False,0.4214691113532739,"[""lm-2024-h15-peninsula-forward-deck""]",True,7.909761734481435e-10,False
16,65,0,309,-275.2811514220747,-410.9540366829518,18.66799933746903,63.2881916460356,683884.7064082621,7022959.731390224,-275.4,-429.1,18.1463525174657,provisional-platform,lm-2024-h16-tee-associations,lm-2024-h16-rear-roadside-deck,reviewed-lm-orthophoto,False,0.7191937990585411,"[""lm-2024-h16-rear-roadside-deck""]",True,7.909761734481435e-10,False
16,61,1,273,-239.8913550861199,-430.7622418556074,18.668706495680475,63.28836958535623,683918.994683263,7022981.5621004775,-239.6,-432.6,1.860710290047701,provisional-platform,lm-2024-h16-tee-associations,lm-2024-h16-main-rear-deck,reviewed-lm-orthophoto,False,0.6120144555391306,"[""lm-2024-h16-main-rear-deck""]",True,1.7779587579980215e-10,False
16,58,2,273,-239.8913550861199,-430.7622418556074,18.668706495680475,63.28836958535623,683918.994683263,7022981.5621004775,-239.6,-432.6,1.860710290047701,provisional-platform,lm-2024-h16-tee-associations,lm-2024-h16-main-rear-deck,reviewed-lm-orthophoto,False,0.6120144555391306,"[""lm-2024-h16-main-rear-deck""]",True,1.7779587579980215e-10,False
